# KAPUTNIK Flight Data v2
# Sample rate: 500 Hz
# Samples: 3250
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1783350000000
epoch_ms,ax,ay,az,gx,gy,gz
1783350000000,-2,-3,2052,7,-1,2
1783350000002,24,17,2047,2,-1,12
1783350000004,-12,-16,2057,12,0,6
1783350000006,-2,20,2009,-2,4,3
1783350000008,-36,11,2061,0,2,-1
1783350000010,-6,0,2039,-4,6,3
1783350000012,4,32,2033,3,0,3
1783350000014,-15,5,2051,5,16,-4
1783350000016,-22,-8,2029,-4,-5,-3
1783350000018,9,-4,2076,-4,0,-1
1783350000020,5,-12,2052,-2,-5,-2
1783350000022,6,0,2069,5,4,-10
1783350000024,24,4,2051,-3,-11,8
1783350000026,-35,-8,2048,0,-2,-4
1783350000028,-11,27,2060,0,7,-5
1783350000030,3,6,2041,-2,4,3
1783350000032,17,34,2057,-6,-7,-1
1783350000034,-1,6,2064,-4,7,-10
1783350000036,-22,12,2033,4,-4,7
1783350000038,-18,17,2052,2,0,-2
1783350000040,16,-35,2079,10,1,-2
1783350000042,21,-5,2075,5,2,9
1783350000044,-17,26,2043,-4,0,4
1783350000046,7,7,2066,1,5,-5
1783350000048,-16,3,2050,-7,-2,7
1783350000050,-19,-16,2026,2,-7,-9
1783350000052,3,-5,2043,3,0,1
1783350000054,1,-17,2074,-3,7,-1
1783350000056,-15,-4,2058,5,-8,0
1783350000058,-12,-1,2053,-4,-6,-2
1783350000060,-13,4,2065,1,-6,4
1783350000062,10,14,2025,-8,-4,-10
1783350000064,26,8,2048,4,-6,-4
1783350000066,-10,5,2048,-2,-5,-5
1783350000068,-11,-22,2009,-3,0,-5
1783350000070,29,25,2024,-5,0,2
1783350000072,15,-29,2048,-3,-11,4
1783350000074,4,-5,2048,3,6,9
1783350000076,30,1,2048,-6,4,-5
1783350000078,-37,10,2066,0,-1,-3
1783350000080,-10,3,2055,-6,5,-6
1783350000082,20,-4,2032,-5,0,0
1783350000084,13,-14,2059,6,4,3
1783350000086,-5,22,2031,5,9,-5
1783350000088,-17,-9,2038,3,-5,7
1783350000090,12,-25,2034,-5,6,2
1783350000092,-6,15,2041,5,2,3
1783350000094,-15,6,2030,-9,-5,4
1783350000096,12,-5,2064,-2,1,-1
1783350000098,-13,22,2030,2,-4,1
1783350000100,-14,12,2055,-2,-4,0
1783350000102,15,-1,2047,9,-8,4
1783350000104,-7,2,2030,-1,9,1
1783350000106,-14,20,2051,-5,-4,-1
1783350000108,0,-10,2021,-1,-2,-4
1783350000110,-13,-10,2056,-1,-6,-3
1783350000112,-16,-33,2001,6,-2,1
1783350000114,-12,-26,2049,-1,8,0
1783350000116,-25,-4,2055,1,2,-3
1783350000118,-13,-14,2069,2,-3,12
1783350000120,-27,3,2035,5,-3,-3
1783350000122,6,-7,2065,2,-1,-8
1783350000124,-10,11,2071,-3,-7,2
1783350000126,-13,-1,2025,-4,-7,-4
1783350000128,-8,-5,2075,-5,-1,3
1783350000130,12,-7,2044,-4,9,-1
1783350000132,26,-8,2049,7,6,0
1783350000134,14,-7,2062,9,9,-5
1783350000136,19,1,2058,8,-2,0
1783350000138,-5,-8,2043,5,-3,-2
1783350000140,6,6,2065,3,3,2
1783350000142,-6,-3,2045,2,1,-14
1783350000144,-10,-12,2048,0,-2,3
1783350000146,22,-9,2049,3,-6,-4
1783350000148,-5,11,2051,-4,-2,-9
1783350000150,17,-10,2055,-2,12,1
1783350000152,7,-2,2082,8,2,3
1783350000154,18,-8,2051,-3,7,-10
1783350000156,-13,-22,2066,0,2,1
1783350000158,6,8,2060,3,-9,-4
1783350000160,15,10,2027,-4,4,-3
1783350000162,0,-8,2065,0,2,-8
1783350000164,8,4,2062,1,9,-6
1783350000166,19,-3,2050,2,4,-9
1783350000168,8,-1,2063,4,-4,2
1783350000170,-10,-26,2041,-6,-3,-4
1783350000172,-3,-4,2051,-7,3,-1
1783350000174,-6,15,2048,3,-1,1
1783350000176,-7,-7,2027,-1,-1,-4
1783350000178,-5,-4,2032,-2,5,-12
1783350000180,-18,-1,2041,-1,-15,-4
1783350000182,23,17,2042,-2,-3,7
1783350000184,-3,11,2050,-7,5,3
1783350000186,-6,35,2051,4,2,1
1783350000188,4,-16,2026,8,6,0
1783350000190,7,8,2052,-8,-1,-7
1783350000192,9,13,2028,-5,0,2
1783350000194,30,-22,2073,-2,-4,-4
1783350000196,-20,12,2040,-8,0,-8
1783350000198,17,16,2047,2,-3,3
1783350000200,16,12,2036,2,4,8
1783350000202,37,-4,2049,-3,5,-9
1783350000204,1,0,2044,-5,-12,5
1783350000206,1,12,2010,-3,0,-1
1783350000208,7,-11,2049,1,-3,-2
1783350000210,1,-3,2044,-3,-1,5
1783350000212,-5,-2,2033,0,-8,-2
1783350000214,41,0,2025,-5,6,14
1783350000216,13,-12,2068,1,-2,1
1783350000218,-3,8,2045,-2,-9,-7
1783350000220,10,-2,2048,2,-5,0
1783350000222,-7,-2,2017,-3,2,-2
1783350000224,8,6,2037,-6,-5,3
1783350000226,-3,-6,2009,-3,-10,2
1783350000228,-6,1,2008,7,5,2
1783350000230,-11,8,2058,2,0,3
1783350000232,-18,-15,2053,-2,2,9
1783350000234,-1,-25,2016,3,-5,5
1783350000236,13,27,2046,5,4,0
1783350000238,4,-12,2033,5,-1,8
1783350000240,10,-8,2071,2,-3,-5
1783350000242,16,-24,2051,-4,9,5
1783350000244,-30,0,2042,-2,0,-2
1783350000246,-16,-14,2044,2,-4,-3
1783350000248,38,-32,2046,-1,8,1
1783350000250,-13,7,2053,2,0,1
1783350000252,-10,0,2061,0,0,-2
1783350000254,0,-5,2064,-7,-6,3
1783350000256,7,-21,2042,-7,-1,-2
1783350000258,-6,-10,2050,13,-9,3
1783350000260,-7,2,2045,1,6,6
1783350000262,2,13,2035,3,1,-5
1783350000264,-20,-31,2023,-6,5,-1
1783350000266,10,12,2026,-10,-3,-5
1783350000268,0,-29,2041,8,-3,-1
1783350000270,6,-26,2068,-4,3,7
1783350000272,4,9,2031,-5,5,2
1783350000274,-16,9,2065,-4,-4,-1
1783350000276,24,-15,2052,-10,8,-3
1783350000278,9,14,2035,-5,-1,2
1783350000280,2,-16,2022,9,-3,8
1783350000282,11,-8,2036,-1,6,4
1783350000284,11,-8,2064,6,5,-8
1783350000286,12,14,2022,2,-5,4
1783350000288,-15,-25,2061,2,4,-1
1783350000290,-5,-17,2060,-4,1,3
1783350000292,-15,18,2067,2,-1,-7
1783350000294,-1,6,2039,-2,5,3
1783350000296,-3,-3,2051,9,4,4
1783350000298,3,30,2041,-3,1,-6
1783350000300,-13,14,2026,-2,-2,1
1783350000302,1,6,2047,1,9,14
1783350000304,3,-14,2066,-3,10,-3
1783350000306,8,-18,2043,-3,-4,-8
1783350000308,31,16,2042,-2,6,2
1783350000310,-13,-12,2030,5,-4,-2
1783350000312,-9,-8,2049,2,1,-3
1783350000314,-49,0,2041,4,2,6
1783350000316,-6,-7,2022,-4,-1,5
1783350000318,9,-11,2045,0,-1,4
1783350000320,-4,21,2031,-4,2,-5
1783350000322,-8,9,2062,0,0,5
1783350000324,2,25,2049,1,0,3
1783350000326,-14,1,2060,-9,-8,2
1783350000328,-42,-6,2064,5,1,-6
1783350000330,-12,-8,2054,-8,-5,0
1783350000332,-6,22,2039,-4,-5,-1
1783350000334,-17,-3,2059,-6,1,6
1783350000336,5,-4,2068,5,-2,1
1783350000338,-9,-11,2030,6,0,13
1783350000340,-14,5,2016,-4,1,-2
1783350000342,-27,20,2050,-5,9,1
1783350000344,-9,9,2052,2,4,5
1783350000346,-22,2,2061,1,2,5
1783350000348,1,-29,2037,-1,3,1
1783350000350,-6,26,2055,0,4,1
1783350000352,-13,-2,2037,-1,-3,-3
1783350000354,1,9,2056,0,6,-6
1783350000356,3,-31,2049,4,-7,7
1783350000358,-8,0,2040,5,0,-7
1783350000360,-30,-5,2038,3,3,-5
1783350000362,-1,-7,2055,-8,-12,-1
1783350000364,-11,10,2055,2,1,7
1783350000366,-15,2,2038,11,1,-3
1783350000368,-19,5,2041,-6,4,0
1783350000370,-10,-8,2043,-2,3,0
1783350000372,-5,26,2054,-7,0,-9
1783350000374,-7,23,2032,4,0,5
1783350000376,10,-3,2067,8,0,0
1783350000378,21,-9,2041,1,-1,3
1783350000380,-3,-12,2060,-7,0,-6
1783350000382,19,20,2055,-10,-2,-2
1783350000384,22,17,2051,-5,-7,1
1783350000386,-19,4,2048,0,-3,6
1783350000388,11,-7,2054,-4,-5,4
1783350000390,-9,-15,2067,4,-5,-2
1783350000392,-6,8,2063,6,-8,1
1783350000394,6,-1,2081,2,9,-1
1783350000396,-9,-9,2046,8,3,5
1783350000398,26,-1,2034,-1,-6,-12
1783350000400,-2,-4,2040,-2,2,1
1783350000402,-10,4,2064,-4,4,-2
1783350000404,-29,14,2056,5,6,3
1783350000406,0,16,2053,-9,-5,6
1783350000408,-17,12,2038,-3,-2,0
1783350000410,-12,-3,2060,5,-1,-3
1783350000412,2,4,2042,-4,-1,2
1783350000414,10,12,2030,-9,-10,6
1783350000416,-3,-3,2053,8,3,7
1783350000418,21,6,2037,-2,3,-4
1783350000420,3,17,2067,7,-2,-2
1783350000422,29,-5,2060,5,-9,1
1783350000424,7,-15,2064,1,1,-1
1783350000426,11,-8,2059,3,4,0
1783350000428,13,11,2065,5,2,-1
1783350000430,13,-10,2057,3,-3,-4
1783350000432,-12,18,2038,4,-1,-2
1783350000434,0,4,2040,0,-4,1
1783350000436,40,-15,2052,1,-7,3
1783350000438,15,9,2069,4,2,-2
1783350000440,-5,-3,2054,2,-1,0
1783350000442,12,0,2031,-3,2,-2
1783350000444,12,5,2048,-6,-8,-4
1783350000446,18,1,2048,-2,4,-10
1783350000448,-21,-15,2052,-8,7,3
1783350000450,1,-26,2042,-1,2,0
1783350000452,4,17,2065,6,-5,13
1783350000454,-18,7,2057,4,-13,-9
1783350000456,21,20,2057,2,5,-1
1783350000458,-4,-8,2064,1,3,-3
1783350000460,-5,-17,2038,-3,10,2
1783350000462,-4,6,2061,-5,-8,-4
1783350000464,18,13,2063,0,2,-5
1783350000466,7,26,2039,-2,-6,3
1783350000468,-13,-13,2036,-3,-1,-1
1783350000470,4,7,2034,6,-9,-1
1783350000472,33,-11,2037,1,10,-2
1783350000474,13,-5,2030,7,0,2
1783350000476,5,-10,2042,-10,0,-5
1783350000478,5,1,2038,-8,2,5
1783350000480,13,28,2048,2,-1,-2
1783350000482,-2,-9,2046,7,-3,-7
1783350000484,-5,-23,2039,-3,9,-4
1783350000486,9,10,2036,10,3,1
1783350000488,1,4,2054,-2,-6,-1
1783350000490,-5,3,2012,4,-1,-13
1783350000492,-9,-4,2050,-4,-1,-2
1783350000494,-14,-24,2052,8,-3,0
1783350000496,23,23,2041,0,-5,-3
1783350000498,-10,-18,2037,-9,-2,-5
1783350000500,-193,68,1944,1,61,2003
1783350000502,-23,181,2461,-30,15,1974
1783350000504,5,-32,2669,-71,39,2019
1783350000506,184,-24,3077,7,108,1990
1783350000508,60,130,3350,10,48,1960
1783350000510,-190,15,3694,49,57,1949
1783350000512,-99,54,3907,-33,52,1976
1783350000514,162,239,4029,53,50,1962
1783350000516,166,78,4483,-20,26,1966
1783350000518,-86,194,4745,-7,17,1984
1783350000520,-267,157,4901,70,74,1984
1783350000522,-261,92,5364,-13,-9,2007
1783350000524,18,363,5406,14,-15,1999
1783350000526,249,152,5743,51,70,2005
1783350000528,0,62,5871,25,54,2056
1783350000530,-81,349,6165,55,79,1982
1783350000532,-168,193,6336,43,50,2083
1783350000534,117,295,6734,18,36,2014
1783350000536,145,113,6954,30,74,1973
1783350000538,-211,125,7253,28,114,2026
1783350000540,-325,184,7464,40,75,2025
1783350000542,47,26,7497,27,23,2016
1783350000544,-95,147,7620,95,51,1990
1783350000546,-57,-114,7905,57,76,1960
1783350000548,-26,101,8157,53,38,1939
1783350000550,-1,298,8461,95,90,2021
1783350000552,86,114,8711,22,59,2052
1783350000554,30,58,8679,40,-10,2058
1783350000556,-72,-12,8886,27,54,2041
1783350000558,65,-36,8966,23,27,2076
1783350000560,129,92,9168,13,16,2014
1783350000562,-70,89,9536,109,15,2050
1783350000564,94,89,9569,39,10,2021
1783350000566,7,147,9894,62,28,2091
1783350000568,-64,257,10051,112,-52,2037
1783350000570,-155,116,10198,55,45,2108
1783350000572,190,188,10245,35,38,2046
1783350000574,207,144,10506,71,55,2033
1783350000576,140,183,10600,79,5,1968
1783350000578,-20,172,10592,15,52,2059
1783350000580,218,88,10938,96,25,2074
