# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4989
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861866105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861866105393,-2022,12,-196,-130,25,17,0,0,0,0,0
1776861866107002,-2022,12,-196,-130,25,17,0,0,0,0,0
1776861866109002,-2027,13,-202,-129,26,16,0,0,0,0,0
1776861866111001,-2024,14,-195,-129,26,15,0,0,0,0,0
1776861866113002,-2022,13,-197,-130,26,17,0,0,0,0,0
1776861866115002,-2023,10,-197,-130,26,15,0,0,0,0,0
1776861866117002,-2026,12,-195,-131,25,14,0,0,0,0,0
1776861866119002,-2025,12,-191,-129,28,16,0,0,0,0,0
1776861866121002,-2017,9,-190,-130,28,15,0,0,0,0,0
1776861866123002,-2014,14,-186,-129,26,15,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,34,78,7936,3320,0
1776866152683500,24,17,0,0,0,0,39,284,6400,2040,0
1776866152749029,22,15,0,0,0,0,247,291,5632,3064,0
1776866152814569,24,15,0,0,0,0,199,299,6400,2808,0
1776866152814565,25,15,0,0,0,0,151,307,6400,2296,0
1776866152749032,25,16,0,0,0,0,103,315,5376,1784,0
1776866152749037,25,15,0,0,0,0,55,323,5888,1784,0
1776866152749036,26,15,0,0,0,0,7,331,5888,2296,0
1776866152749036,26,16,0,0,0,0,215,338,5632,3576,0
1776866152683493,26,18,0,0,0,0,167,346,6400,2552,0
1776866152749023,24,17,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,25207,1,-2021,8,58,-32513,6143,3584,0
1776861866105000,0,0,27207,1,-2023,8,65,32767,6911,3328,0
1776861866105000,0,0,29207,1,-2026,7,81,32511,7679,3584,0
1776861866105000,0,0,31207,1,-2019,11,72,32511,7167,4096,0
1776861866105000,0,0,-32329,1,-2017,9,65,32511,6911,3584,0
